RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-02-28,2023-04-30,2024-01-31
394504,621,"Cortland, NY",msa,NY,2023-01-31,-0.3,-0.9,-1.9
394887,622,"Mount Sterling, KY",msa,KY,2023-01-31,1.1,2.3,1.5
395208,623,"Washington, NC",msa,NC,2023-01-31,0.2,0.7,2.3
753916,624,"Sandpoint, ID",msa,ID,2023-01-31,-1.4,-2.3,1.6
394918,625,"Nogales, AZ",msa,AZ,2023-01-31,-0.2,-0.2,2.1
395043,626,"Ruston, LA",msa,LA,2023-01-31,0.0,-0.5,-3.7
753865,627,"Bardstown, KY",msa,KY,2023-01-31,0.1,0.5,1.1
394477,628,"Clinton, IA",msa,IA,2023-01-31,0.1,0.4,-0.2
395017,629,"Red Wing, MN",msa,MN,2023-01-31,0.2,0.2,-1.3
394987,630,"Plymouth, IN",msa,IN,2023-01-31,0.2,0.4,1.1
394789,631,"Lewistown, PA",msa,PA,2023-01-31,1.1,2.4,2.8
394500,632,"Cornelia, GA",msa,GA,2023-01-31,-0.1,0.1,2.3
394886,633,"Mount Pleasant, TX",msa,TX,2023-01-31,1.4,3.8,4.6
753904,634,"Marion, NC",msa,NC,2023-01-31,0.2,0.6,2.7
394398,635,"Bogalusa, LA",msa,LA,2023-01-31,3.5,6.9,4.3
395201,636,"Wapakoneta, OH",msa,OH,2023-01-31,0.1,-0.2,-1.2
753889,637,"Hillsdale, MI",msa,MI,2023-01-31,0.9,1.8,2.2
394961,638,"Paragould, AR",msa,AR,2023-01-31,0.9,1.8,1.6
394883,639,"Moultrie, GA",msa,GA,2023-01-31,1.5,3.1,2.4
394375,640,"Bedford, IN",msa,IN,2023-01-31,0.0,0.6,2.8
394426,641,"Burley, ID",msa,ID,2023-01-31,-0.7,-1.1,1.8
394850,642,"Menomonie, WI",msa,WI,2023-01-31,0.4,0.5,0.3
753918,643,"Shawano, WI",msa,WI,2023-01-31,1.2,2.1,2.2
394377,644,"Bellefontaine, OH",msa,OH,2023-01-31,0.2,0.6,0.5
394427,646,"Burlington, IA",msa,IA,2023-01-31,0.2,0.3,-2.4
394667,647,"Harrison, AR",msa,AR,2023-01-31,0.1,0.4,1.3
395189,648,"Vicksburg, MS",msa,MS,2023-01-31,1.3,2.6,-1.5
394677,649,"Henderson, NC",msa,NC,2023-01-31,2.6,6.4,9.1
394817,650,"Madisonville, KY",msa,KY,2023-01-31,0.6,1.1,1.3
394695,651,"Huntingdon, PA",msa,PA,2023-01-31,0.1,0.4,-0.4
394779,652,"Lawrenceburg, TN",msa,TN,2023-01-31,1.3,3.3,6.9
395037,653,"Rolla, MO",msa,MO,2023-01-31,0.4,1.1,1.0
395155,654,"Thomasville, GA",msa,GA,2023-01-31,0.8,1.5,1.7
395034,655,"Rockingham, NC",msa,NC,2023-01-31,3.6,7.1,8.3
394785,656,"Lewisburg, PA",msa,PA,2023-01-31,0.3,0.2,-1.1
395087,657,"Seymour, IN",msa,IN,2023-01-31,0.1,0.0,-0.5
394384,658,"Big Rapids, MI",msa,MI,2023-01-31,1.6,3.5,4.4
394616,659,"Freeport, IL",msa,IL,2023-01-31,0.8,2.1,3.0
394842,660,"McAlester, OK",msa,OK,2023-01-31,-0.3,-0.3,0.4
394349,661,"Auburn, IN",msa,IN,2023-01-31,0.0,-0.1,-0.4
394482,662,"Coldwater, MI",msa,MI,2023-01-31,1.4,2.8,3.4
394990,663,"Ponca City, OK",msa,OK,2023-01-31,0.4,1.1,1.7
395129,664,"Stephenville, TX",msa,TX,2023-01-31,0.7,2.0,4.4
395228,665,"Willmar, MN",msa,MN,2023-01-31,0.6,1.0,0.8
394545,666,"Duncan, OK",msa,OK,2023-01-31,0.5,1.0,1.1
394448,667,"Cedartown, GA",msa,GA,2023-01-31,0.0,0.8,5.8
394650,668,"Greenville, MS",msa,MS,2023-01-31,5.2,11.3,1.2
394476,669,"Clewiston, FL",msa,FL,2023-01-31,-0.1,0.0,3.7
395032,670,"Rock Springs, WY",msa,WY,2023-01-31,0.3,-0.1,-3.7
394297,671,"Aberdeen, SD",msa,SD,2023-01-31,0.4,0.8,-0.4
395081,672,"Sedalia, MO",msa,MO,2023-01-31,0.4,1.2,2.4
394895,673,"Muscatine, IA",msa,IA,2023-01-31,0.2,0.1,-1.1
394934,674,"Okeechobee, FL",msa,FL,2023-01-31,-0.1,0.2,3.1
394891,675,"Mountain Home, AR",msa,AR,2023-01-31,0.6,1.4,1.1
395230,676,"Wilmington, OH",msa,OH,2023-01-31,0.3,0.7,1.1
394558,677,"El Campo, TX",msa,TX,2023-01-31,0.3,0.9,-0.9
394845,678,"McMinnville, TN",msa,TN,2023-01-31,1.6,3.8,7.9
394624,679,"Gainesville, TX",msa,TX,2023-01-31,1.2,3.1,4.8
394424,680,"Bucyrus, OH",msa,OH,2023-01-31,0.3,0.6,2.0
394449,681,"Celina, OH",msa,OH,2023-01-31,0.3,0.4,0.6
753866,682,"Big Stone Gap, VA",msa,VA,2023-01-31,-0.3,-0.8,-2.2
394881,683,"Moscow, ID",msa,ID,2023-01-31,-0.5,-0.6,1.1
395158,684,"Tifton, GA",msa,GA,2023-01-31,0.7,1.0,0.3
394341,685,"Astoria, OR",msa,OR,2023-01-31,-0.2,0.1,1.7
394409,686,"Bradford, PA",msa,PA,2023-01-31,2.0,4.0,1.1
